id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
1225,5,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,822,815,3778772,3693952,84820,93594,3872366
1225,6,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1808,1800,789736,746880,42856,166929,956665
1225,7,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,12240738,12137344,103394,184257,12424995
1225,8,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,932,925,4216110,4142720,73390,93912,4310022
1225,9,10,MenhirLib/Interpreter_complete.v,compcert,13,0,skip_keyword,MenhirLib/Interpreter_complete.v,1,1,0,,376,369,289618,237312,52306,40642,330260
1225,10,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1484,1477,11316856,11211904,104952,172977,11489833
1333,1,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,177,67,307651,279552,28099,5866,313517
1333,2,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,179,73,340173,313856,26317,6378,346551
1333,3,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,225,119,439674,400384,39290,11900,451574
1333,4,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,161,57,239729,214272,25457,6565,246294
1333,5,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,155,51,266291,239488,26803,5539,271830
1333,6,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,169,64,339153,311168,27985,6711,345864
1333,7,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,169,66,518697,491520,27177,5531,524228
1333,8,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,149,47,259291,233984,25307,4239,263530
1333,9,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,165,61,284971,256256,28715,6846,291817
1333,10,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,149,45,273122,246912,26210,5531,278653
1355,1,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1893,1804,13977506,13912832,64674,198879,14176385
1355,2,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1889,1802,9805850,9704448,101402,186197,9992047
1355,3,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1893,1801,11291729,11179136,112593,188893,11480622
1355,4,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1890,1802,11103070,10997376,105694,222428,11325498
1355,5,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1893,1801,19797210,19672320,124890,190250,19987460
1355,6,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1891,1802,18238499,18151680,86819,185239,18423738
1355,7,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1891,1802,13531740,13390080,141660,190420,13722160
1355,8,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1891,1803,8473727,8382592,91135,175575,8649302
1355,9,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1073,977,5464326,5388800,75526,103393,5567719
1355,10,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1919,1802,15320251,15210240,110011,193404,15513655
1599,1,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,481,349,1367683,1299584,68099,39526,1407209
1599,2,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,474,342,1679457,1614720,64737,35572,1715029
1599,3,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,388,255,1336431,1293056,43375,26275,1362706
1599,4,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,961,829,3837879,3770880,66999,78656,3916535
1599,5,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,691,560,3034438,2982272,52166,52883,3087321
1599,6,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,414,283,520346,448128,72218,31660,552006
1599,7,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,431,294,917211,839040,78171,33791,951002
1599,8,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,354,215,733559,642688,90871,25059,758618
1599,9,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,239,100,468544,440576,27968,11256,479800
1599,10,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,251,111,611831,570368,41463,10557,622388
1703,1,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,589,520,1596411,1512832,83579,60958,1657369
1703,2,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,334,265,754975,720384,34591,27404,782379
1703,3,10,backend/Cminortyping.v,compcert,2,0,verify_make_failed,rc=2,1,1,0,,213,142,445989,417280,28709,14249,460238
1703,4,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,318,249,463054,421248,41806,24388,487442
1703,5,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,343,274,1959200,1925248,33952,20308,1979508
1703,6,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,199,130,424236,393728,30508,11330,435566
1703,7,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,153,84,365772,330624,35148,7297,373069
1703,8,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,161,92,182048,137984,44064,9104,191152
1703,9,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,443,375,1306978,1265536,41442,26694,1333672
1703,10,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,226,150,406620,367744,38876,16348,422968
1826,1,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,170,84,435916,409600,26316,7890,443806
1826,2,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,255,169,451004,400640,50364,19891,470895
1826,3,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,220,134,601436,575360,26076,12816,614252
1826,4,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,209,120,602558,574336,28222,10840,613398
1826,5,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,356,269,1357677,1324032,33645,21797,1379474
1826,6,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,226,139,485497,441088,44409,13766,499263
1826,7,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,262,176,857624,826624,31000,15879,873503
1826,8,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,292,206,816150,786048,30102,17185,833335
1826,9,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,142,56,444781,418816,25965,4544,449325
1826,10,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,303,216,1360149,1316736,43413,19733,1379882
1996,1,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,81,25,170308,147840,22468,2224,172532
1996,2,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,82,26,149403,126848,22555,2486,151889
1996,3,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,82,27,147358,124672,22686,2457,149815
1996,4,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,78,23,168603,146048,22555,1854,170457
1996,5,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,80,24,171811,133376,38435,2279,174090
1996,6,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,80,24,148376,126080,22296,1831,150207
1996,7,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,82,27,169077,146560,22517,2004,171081
1996,8,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,93,37,150647,127744,22903,2626,153273
1996,9,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,85,30,189425,167168,22257,2122,191547
1996,10,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,83,28,169290,146560,22730,2867,172157
2030,1,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,72,44,341259,316160,25099,3797,345056
2030,2,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,82,53,440528,413824,26704,3597,444125
2030,3,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,130,102,557651,529408,28243,11427,569078
2030,4,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,95,66,469802,444288,25514,4461,474263
2030,5,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,48,20,107270,84608,22662,2060,109330
2030,6,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,86,58,405361,376704,28657,5395,410756
2030,7,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,120,92,280652,233216,47436,8471,289123
2030,8,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,70,42,185041,160768,24273,3613,188654
2030,9,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,71,43,256344,231040,25304,4099,260443
2030,10,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,61,32,241849,218496,23353,2525,244374
2042,1,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,274,255,1571629,1524096,47533,21024,1592653
2042,2,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,224,205,1837506,1795712,41794,15300,1852806
2042,3,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,184,165,883809,853760,30049,12378,896187
2042,4,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,257,239,1419233,1374592,44641,21803,1441036
2042,5,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1820,1801,25298113,25148928,149185,179190,25477303
2042,6,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,138,118,568745,528000,40745,14445,583190
2042,7,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,284,265,582828,523648,59180,24754,607582
2042,8,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,360,341,2780991,2722560,58431,27788,2808779
2042,9,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,124,105,590453,557440,33013,7875,598328
2042,10,10,flocq/IEEE754/BinarySingleNaN.v,compcert,6,1,success,,1,1,0,,171,152,575097,515712,59385,15015,590112
2114,1,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,1755,1699,16614212,16527360,86852,152609,16766821
2114,2,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,1045,986,4414917,4286592,128325,105035,4519952
2114,3,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,864,808,6272888,6204160,68728,70223,6343111
2114,4,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,1135,1079,6968513,6878336,90177,121569,7090082
2114,5,10,common/Globalenvs.v,compcert,22,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1885,1803,22099746,21990528,109218,160952,22260698
2114,6,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,1017,960,5816377,5744896,71481,86518,5902895
2114,7,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,462,405,2942845,2860416,82429,54988,2997833
2114,8,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,448,391,2151099,2085248,65851,37400,2188499
2114,9,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,908,850,5348958,5275648,73310,77542,5426500
2114,10,10,common/Globalenvs.v,compcert,22,1,success,,1,1,0,,724,668,3139844,3080064,59780,66480,3206324
2207,1,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,200,57,309676,272640,37036,6173,315849
2207,2,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,188,52,411603,375424,36179,4877,416480
2207,3,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,204,67,219776,169984,49792,7896,227672
2207,4,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,230,91,315398,288896,26502,10186,325584
2207,5,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,205,66,257192,225408,31784,7561,264753
2207,6,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,280,142,429072,402688,26384,16040,445112
2207,7,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,411,273,1031168,994560,36608,27226,1058394
2207,8,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,328,193,694775,665984,28791,21213,715988
2207,9,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,326,194,368146,339712,28434,20995,389141
