id,trial,repeats,target_coq_file,project,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2042,4,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,229,202,1055678,1029888,25790,13669,1069347
2042,5,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,136,109,498385,480768,17617,7103,505488
2042,6,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,222,195,714286,699520,14766,14581,728867
2042,7,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,152,125,497919,481792,16127,9153,507072
2042,8,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,69,43,49007,45824,3183,2804,51811
2042,9,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,101,74,176330,167424,8906,5384,181714
2042,10,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,116,89,249803,235136,14667,7039,256842
2114,1,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,785,721,4897844,4853760,44084,51936,4949780
2114,2,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,688,626,3164775,3122432,42343,54282,3219057
2114,3,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,851,788,3707879,3664896,42983,63544,3771423
2114,4,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,1121,1056,7903109,7847808,55301,87257,7990366
2114,5,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,342,280,1579829,1554688,25141,21934,1601763
2114,6,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,1091,1029,5921070,5867520,53550,79490,6000560
2114,7,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,992,930,7574055,7506944,67111,65375,7639430
2114,8,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,377,317,1095009,1074176,20833,25657,1120666
2114,9,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,650,589,2866448,2830592,35856,46338,2912786
2114,10,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,995,934,7245619,7187456,58163,77291,7322910
2207,1,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,272,134,330538,318592,11946,10230,340768
